timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT
0,0.00058,0.01295,1.00522,0.328,0.418,-0.464,11.697,-3.994,37.71
20,-0.001843260743196836,0.011144130528955224,1.0001342393956474,0.06715218751575464,0.5584565144145937,-0.22398914295088665,11.780347821740527,-4.2116304234336015,37.56298370331879
40,-0.003516676347415264,0.007812482509456095,0.9994959187925706,-0.14320543908851419,0.2522858101447403,-0.01793899527473905,11.978550554102585,-4.117620862771966,37.5128269508494
60,0.0005954105069869101,0.003246687866187283,1.0134466776614104,-0.08100116964058343,0.2857461751374741,0.13561354380750082,11.996859850206032,-4.179120417951787,37.41719807806285
80,0.003583811731603679,-0.0004911099742160242,1.0123559488380718,-0.18287027821699348,-0.06568303715986851,-0.07916667113523629,12.103413924189507,-4.207628298668543,37.36580099627321
100,0.0030459822327816408,0.0014309486656030675,1.0127935446440395,-0.24041489612155173,-0.12368577523105771,-0.029325186502842347,11.993667252643808,-4.2004402055354175,37.5167527778829
120,0.002009543490484836,0.01184906032200438,1.0031261447692257,-0.4393634856129063,-0.20291028174418976,-0.09016709505993545,12.148915206842979,-4.143547520496747,37.468614480231885
140,0.00028488277702896567,0.006771379701674391,1.0029887193491365,-0.4801253993648795,-0.3596079365953312,-0.14991239765490136,12.077562060097325,-4.238260157105116,37.42091541697765
160,0.010037780762080548,0.013021933947356536,1.006056876396808,-0.3500389748719706,-0.10855814806606967,0.04954835408218061,12.059981048693977,-4.133589123680556,37.37734479639427
180,0.015267169434444745,0.01011944871685515,1.0135478095704455,-0.021648952779976194,-0.02422321489500151,-0.030152365347639168,12.130602488178203,-4.3625683085803875,37.46982044078927
200,0.00834576202448294,0.009834117976861144,1.0101221332300574,0.22710144537522556,-0.1306370775112392,-0.38547942323278694,12.107603703178347,-4.281316411137042,37.5115636380905
220,0.011337886304654373,0.0044380727345743965,1.005965495080872,0.2374807784120013,0.07373374065348784,0.018325115761365862,12.256702266459325,-4.300487794970281,37.422210282399966
240,0.009077506381058939,0.001108762233437277,1.0060791355600442,0.3534419937384772,0.14599408695917582,0.04212357528631672,12.184659547832453,-4.232000660265178,37.51242261437819
260,0.013932707469960937,0.0016417398220889205,1.0109414253892943,0.20432579740899162,-0.14379165974482444,-0.19176105298079205,12.152377876167488,-4.304158010421726,37.62107475207713
280,0.017686173413533467,-0.006207518069502142,1.0116585927288524,-0.040055339934167905,0.08070402334099788,0.033880428522201356,12.036085332189032,-4.225379651812786,37.576285040296106
300,0.01576601964213929,-0.000621084757918164,1.0108835379662888,0.05952035669557475,0.23092148476173538,-0.14781798822581685,11.968911104249532,-4.180858158054563,37.56652831329934
320,0.02194532695798787,-0.005432459410208861,1.0126455965939307,-0.05528368799906,0.09589744061774444,-0.15599148147331865,11.885211715126703,-4.1577607178358225,37.57211249646328
340,0.020457673698516456,-0.00010265198094789631,1.0094368611190367,-0.0725383509691905,0.009116367513537171,-0.16718498532109016,11.930662627028287,-4.149749789088667,37.59406365157459
360,0.022615582104492923,0.0022637516491666493,1.0125095938965627,-0.21278713214020117,0.010614943014404892,-0.261265774122581,12.05735801977458,-4.13595503423578,37.50027279091236
380,0.029173210406987206,0.0022044235702451025,1.013158011435271,0.19846766370688296,-0.32918754445045595,-0.3912012566798303,12.051045958125508,-4.0753908665748435,37.51097187646976
400,0.023654037113844444,0.004039455683859308,1.017299158980708,0.19867307607014562,-0.25888691955137655,-0.24526490981041266,12.014756487045592,-4.084886781694792,37.50712403303263
420,0.02209356635237784,-0.002114953525384945,1.012541712013418,-0.18359749313094303,-0.35424033149112033,0.1646307677085524,12.003274364925682,-4.113870685072847,37.35002726760907
440,0.019445125126256197,-0.004509291985838222,1.0190390945389796,-0.38324736308753804,-0.009180221573006131,0.08798520373097521,11.995451104954718,-4.150964060094085,37.47773956529562
460,0.01991776703658606,-0.006597119425904902,1.0138340637654795,-0.07908671167058684,-0.4142737019064034,-0.20102537611561025,12.098304205831425,-4.2169616204204825,37.63450309442511
480,0.02501982405531921,-0.006933937455953273,1.0139868435001804,0.06989239212898143,-0.37017896053545357,-0.10068950252071367,12.019083565321155,-4.330036206644218,37.61655896653378
500,0.027022554886056392,0.00021774455899529425,1.0193092025241903,0.2115480377790988,-0.11620774444251342,-0.141711485821873,11.849654589711974,-4.18956572118829,37.45466393897685
520,0.019458525949473306,-0.0010045915929615004,1.0137799996646064,0.05891809637804321,0.07719305990362907,0.2097043409250389,11.969407432002148,-4.285428943339379,37.4451468760636
540,0.024479257522365926,-0.010637982378097271,1.0115265216506697,-0.34582745231330503,0.16586855933829825,0.05392713053940218,11.918701305993372,-4.2976112526111825,37.40534563791896
560,0.01968318557634151,-0.010982184812077635,1.0120950920710332,-0.032567962593506694,-0.08219483920947304,0.45487370599875837,11.910327432921742,-4.389598210121881,37.494734001234455
580,0.013662391455965161,-0.011405798259239661,1.0123555184865647,-0.004180326333981521,0.07570098725152338,0.14313984657077533,12.01129890734408,-4.383965205422949,37.45316273118685
600,0.008228425471001641,-0.009404756643992216,1.0197119212956267,0.2960957621904198,0.3729359168879346,0.13266740632056115,12.078710738494827,-4.281337332595287,37.46429015498556
620,0.010555826390713053,-0.003676617150728403,1.0162730822793604,0.30493381001475106,0.45746607498504877,-0.032742290753423386,12.084610398876666,-4.244935428981265,37.544439058393046
640,0.0124790671940033,-0.007525041853835484,1.0242323816369363,0.11241044771182518,0.2990797173536224,-0.06641238332643495,12.102510733159267,-4.235313606343515,37.5867152890911
660,0.0129000249395825,-0.007662009392223763,1.021129071493211,0.164730326572903,0.09762505431503432,-0.15538912207681238,12.069128875909263,-4.0816165162585785,37.54939580448578
680,0.010368711100333699,-0.010339168671920022,1.0314475814115447,0.0903615631321989,0.02792734677372556,-0.2081030993960665,12.117698709302756,-4.200612310844703,37.59091698645917
700,0.015354642970089493,-0.014124869693490387,1.0257646562719218,0.16701008640476664,0.08853690002101866,-0.30723178956843145,12.227016049468938,-4.132462998800874,37.43968815717915
720,0.011401547247559986,-0.014786686244641963,1.0194191642370312,0.06899532991420815,0.041639511697647125,0.04708589336414143,12.169129424703405,-4.149648471193478,37.408167185128775
740,0.013897526168612758,-0.01738872565585508,1.022355953970681,0.09021995693831528,0.348544901505443,-0.0907026778681349,12.067595793291984,-4.256284109900369,37.50495592929804
760,0.008797285358648398,-0.0104667177474456,1.0258110476387743,0.011031825510104357,0.34679116242903596,0.20475866611889443,12.095148502052277,-4.311739695036042,37.56709793160006
780,0.009203495878421626,-0.007164940962732132,1.025745045564211,0.052693455885262024,0.3673228323775796,0.023107233774049968,11.952319467947754,-4.3114542692489755,37.46326123514753
800,0.007423288322517242,-0.006491621387224988,1.0258550008027216,0.40742585386570707,0.07741023282852783,-0.11546131116267999,11.908592936400343,-4.273849634706304,37.51795390786348
820,-0.00027221927019166134,-0.0018837133748393102,1.0264820385037552,0.266419145868581,-0.07478066429384406,-0.12493004386156534,11.965858702520434,-4.222201137051045,37.55077060474831
840,0.00015695227364312972,-0.0027967913184545373,1.0313972299117493,-0.013883879496054075,0.5479281465203891,-0.0948592132874668,11.854011056837036,-4.069705054076117,37.52539173141345
860,0.004996932393917801,-0.003550475063878163,1.0349675920965715,-0.3068036715892214,-0.11766909269905979,-0.21839179302259942,11.881017658497012,-4.062873212913883,37.54221883417532
880,0.01077072448430303,-0.004430074314012291,1.030781836668891,-0.17606965295656002,-0.06879134752167243,-0.273805826520883,11.955483666824145,-4.09456343888692,37.55949852226092
